date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-13_11-04-20,1465808660.11161,0,0,0,0,0,0,0,1,-16,-2.300000,0.740000,74.910004,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.14925,0,0,0,0,0,0,0,0,-15,-2.260000,0.560000,74.820000,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.18650,0,0,0,0,0,0,0,0,-15,-2.300000,0.460000,74.839996,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.26173,0,0,0,0,0,0,0,0,-16,-2.380000,0.470000,74.910004,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.29902,0,0,0,0,0,0,0,0,-15,-2.420000,0.540000,75.040001,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.33670,0,0,0,0,0,0,0,0,-16,-2.450000,0.640000,75.180000,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.41153,0,0,0,0,0,0,0,0,-16,-2.430000,0.760000,75.279999,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.44921,0,0,0,0,0,0,0,0,-15,-2.340000,0.920000,75.260002,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.48652,0,0,0,1,0,0,0,1,-15,-2.320000,1.020000,75.150002,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.56178,0,0,0,0,0,0,0,1,-15,-2.400000,1.050000,75.070000,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.59901,0,0,0,0,0,0,0,0,-15,-2.500000,1.030000,75.070000,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.63670,0,0,0,0,0,0,0,0,-15,-2.530000,0.980000,75.150002,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.71147,0,0,0,0,0,0,0,0,-16,-2.510000,0.950000,75.260002,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.74929,0,0,0,0,0,0,0,0,-16,-2.480000,1.060000,75.320000,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.78654,0,0,0,0,0,0,0,0,-15,-2.440000,1.230000,75.290001,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.86173,0,0,0,0,0,0,0,1,-15,-2.420000,1.330000,75.230003,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.89902,0,0,0,0,0,0,0,0,-15,-2.430000,1.400000,75.209999,0,0,3,0,0,0
2016-06-13_11-04-20,1465808660.93675,0,0,0,0,0,0,0,0,-15,-2.460000,1.460000,75.290001,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.01153,0,0,0,1,0,0,0,0,-15,-2.540000,1.530000,75.449997,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.04924,0,0,0,0,0,0,0,0,-15,-2.640000,1.630000,75.629997,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.08653,0,0,0,0,0,0,0,0,-15,-2.740000,1.670000,75.720001,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.16174,0,0,0,0,0,0,0,1,-16,-2.790000,1.650000,75.720001,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.19903,0,0,0,0,0,0,0,1,-15,-2.800000,1.620000,75.660004,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.23674,0,0,0,0,0,0,0,1,-15,-2.800000,1.620000,75.599998,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.31149,0,0,0,0,0,0,0,1,-15,-2.810000,1.650000,75.559998,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.34931,0,0,0,0,0,0,0,1,-15,-2.860000,1.670000,75.580002,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.38654,0,0,0,0,0,0,0,1,-15,-2.920000,1.660000,75.629997,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.46179,0,0,0,0,0,0,0,0,-16,-2.930000,1.660000,75.629997,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.49903,0,0,0,0,0,0,0,1,-16,-2.880000,1.690000,75.529999,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.57429,0,0,0,0,0,0,0,1,-15,-2.760000,1.760000,75.349998,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.61154,0,0,0,0,0,0,0,1,-15,-2.670000,1.810000,75.190002,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.64916,0,0,0,0,0,0,0,1,-15,-2.620000,1.850000,75.150002,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.68654,0,0,0,0,0,0,0,0,-16,-2.560000,1.890000,75.250000,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.76175,0,0,0,0,0,0,0,1,-15,-2.420000,1.920000,75.290001,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.79904,0,0,0,0,0,0,0,0,-15,-2.410000,1.900000,75.239998,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.83674,0,0,0,0,0,0,0,1,-15,-2.440000,1.870000,75.089996,0,0,3,0,0,0
2016-06-13_11-04-21,1465808661.91156,0,0,0,0,0,0,0,1,-16,-2.470000,1.880000,74.959999,0,0,3,0,0,0
