date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-14_13-29-30,1465903770.23633,0,0,0,0,0,0,-1,1,1,-3.790000,15.320000,66.760002,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.23905,0,0,0,0,0,0,0,-3,-18,-4.070000,13.650000,67.459999,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.27434,0,0,0,0,0,0,-5,4,-28,-4.090000,10.500000,68.029999,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.34930,0,0,0,0,0,0,-4,0,-37,-5.510000,10.350000,68.769997,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.38684,0,0,0,0,0,0,-3,1,-30,-5.800000,10.730000,68.489998,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.42437,0,0,0,0,0,0,-1,3,-16,-5.150000,12.080000,67.129997,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.49933,0,0,0,0,0,0,0,6,-1,-4.530000,13.570000,66.059998,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.53681,0,0,0,0,0,0,0,4,0,-3.940000,13.790000,66.370003,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.57421,0,0,0,0,0,0,0,1,0,-3.410000,12.590000,66.980003,1,0,5,0,2,0
2016-06-14_13-29-30,1465903770.64925,0,0,0,0,0,0,1,-1,-17,-2.170000,10.990000,66.680000,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.68683,0,0,0,0,0,0,4,4,-17,0.000000,9.310000,65.169998,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.72426,0,0,0,0,0,0,3,0,-38,-0.960000,7.250000,65.120003,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.79932,0,0,0,0,0,0,3,1,-32,-1.940000,7.240000,65.199997,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.83706,0,0,0,0,0,0,0,1,-20,-2.680000,8.970000,65.400002,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.87437,0,0,0,0,0,0,-1,1,-3,-3.310000,11.670000,65.400002,1,0,5,0,2,0
2016-06-14_13-29-30,1465903770.94929,0,0,0,0,0,0,-1,0,0,-3.930000,13.380000,64.550003,0,0,5,0,2,0
2016-06-14_13-29-30,1465903770.98684,0,0,0,0,0,0,-2,1,0,-4.100000,12.970000,62.310001,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.02430,0,0,0,0,0,0,-4,1,-10,-4.320000,10.840000,59.770000,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.09930,0,0,0,0,0,0,-4,3,-13,-4.250000,7.780000,56.930000,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.13680,0,0,0,0,0,0,-2,4,-36,-5.160000,5.840000,55.029999,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.17423,0,0,0,0,0,0,-2,2,-31,-5.970000,6.030000,53.650002,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.24938,0,0,0,0,0,0,0,3,-17,-5.270000,6.720000,51.840000,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.28680,0,0,0,0,0,0,0,2,-4,-5.650000,7.890000,50.900002,1,0,5,0,2,0
2016-06-14_13-29-31,1465903771.32433,0,0,0,0,0,0,1,1,0,-6.110000,8.110000,49.790001,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.39928,0,0,0,0,0,0,2,2,0,-5.870000,6.680000,47.919998,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.43694,0,0,0,0,0,0,3,3,-12,-5.080000,4.770000,46.639999,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.47426,0,0,0,0,0,0,6,5,-16,-2.590000,2.890000,47.970001,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.69887,0,0,0,0,0,0,5,1,-38,-2.140000,1.600000,51.919998,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.70173,0,0,0,0,0,0,3,0,-29,-1.770000,1.500000,54.610001,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.70281,0,0,0,0,0,0,0,-1,-19,-2.120000,1.370000,56.169998,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.70341,0,0,0,0,0,0,-1,0,-1,-1.800000,2.780000,56.430000,1,0,5,0,2,0
2016-06-14_13-29-31,1465903771.77374,0,0,0,0,0,0,-1,0,0,-1.880000,3.950000,56.160000,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.77617,0,0,0,0,0,0,-1,0,0,-2.260000,3.810000,55.009998,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.88673,0,0,0,0,0,0,-2,-1,-12,-2.650000,3.000000,52.419998,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.88923,0,0,0,0,0,0,-2,-3,-27,-2.750000,2.130000,48.060001,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.92436,0,0,0,0,0,0,-2,7,-32,-2.410000,2.390000,42.130001,0,0,5,0,2,0
2016-06-14_13-29-31,1465903771.99933,0,0,0,0,0,0,-1,4,-23,-2.750000,3.500000,36.980000,0,0,5,0,2,0
2016-06-14_13-29-32,1465903772.03689,0,0,0,0,0,0,0,3,-11,-2.280000,4.090000,32.169998,0,0,5,0,2,0
2016-06-14_13-29-32,1465903772.11181,0,0,0,0,0,0,2,6,-1,-1.690000,4.790000,27.500000,0,0,5,0,2,0
2016-06-14_13-29-32,1465903772.14926,0,0,0,0,0,0,1,2,1,-0.650000,4.390000,23.809999,0,0,5,0,2,0
2016-06-14_13-29-32,1465903772.18692,0,0,0,0,0,0,4,2,-1,0.710000,3.080000,20.440001,1,0,5,0,2,0
2016-06-14_13-29-32,1465903772.26183,0,0,0,0,0,0,4,2,-7,2.940000,2.480000,16.549999,0,0,5,0,2,0
