date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-14_13-24-41,1465903481.48015,0,0,0,0,0,0,-2,5,-14,-5.750000,19.360001,168.639999,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.51756,0,0,0,0,0,0,-2,5,-14,-5.730000,19.360001,168.550003,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.55502,0,0,0,0,0,0,-2,5,-14,-5.760000,19.400000,168.410004,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.63005,0,0,0,0,0,0,-2,5,-14,-5.800000,19.400000,168.369995,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.66757,0,0,0,0,0,0,-2,5,-14,-5.790000,19.370001,168.399994,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.70524,0,0,0,0,0,0,-2,5,-14,-5.800000,19.350000,168.339996,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.78010,0,0,0,0,0,0,-2,5,-14,-5.850000,19.340000,168.229996,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.81750,0,0,0,0,0,0,-2,5,-14,-5.860000,19.330000,168.190002,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.85500,0,0,0,0,0,0,-2,5,-14,-5.830000,19.299999,168.179993,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.93013,0,0,0,0,0,0,-2,5,-14,-5.850000,19.250000,168.130005,0,0,5,0,0,0
2016-06-14_13-24-41,1465903481.96752,0,0,0,0,0,0,-2,5,-14,-5.870000,19.209999,168.089996,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.00501,0,0,0,0,0,0,-2,5,-14,-5.840000,19.230000,168.050003,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.08011,0,0,0,0,0,0,-2,5,-14,-5.900000,19.219999,168.029999,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.11752,0,0,0,0,0,0,-2,5,-14,-5.870000,19.209999,167.970001,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.15501,0,0,0,0,0,0,-2,5,-14,-5.830000,19.200001,167.880005,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.23008,0,0,0,0,0,0,-2,5,-14,-5.820000,19.240000,167.699997,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.26756,0,0,0,0,0,0,-2,5,-14,-5.850000,19.260000,167.580002,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.30522,0,0,0,0,0,0,-2,5,-14,-5.830000,19.250000,167.529999,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.38014,0,0,0,0,0,0,-2,5,-14,-5.780000,19.200001,167.460007,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.41754,0,0,0,0,0,0,-2,5,-14,-5.790000,19.110001,167.300003,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.45504,0,0,0,0,0,0,-2,5,-14,-5.790000,19.010000,167.169998,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.53014,0,0,0,0,0,0,-2,5,-14,-5.770000,18.959999,167.119995,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.56752,0,0,0,0,0,0,-2,5,-14,-5.760000,18.940001,167.070007,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.60503,0,0,0,0,0,0,-2,5,-14,-5.800000,18.879999,167.000000,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.67984,0,0,0,0,0,0,-2,5,-14,-5.840000,18.809999,166.970001,0,0,5,0,0,0
2016-06-14_13-24-42,1465903482.71727,0,0,0,0,0,0,-2,5,-14,-5.880000,18.740000,166.949997,0,0,5,0,0,0
