date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-14_13-26-22,1465903582.40518,0,0,0,0,0,0,0,1,-18,3.160000,2.640000,334.529999,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.43210,0,0,0,0,0,0,-1,1,-17,3.070000,1.950000,333.519989,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.46971,0,0,0,0,0,0,-1,0,-18,2.710000,0.750000,333.000000,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.54469,0,0,0,0,0,0,-1,-1,-17,3.090000,-0.580000,332.869995,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.58207,0,0,0,0,0,0,-2,-3,-14,3.570000,-1.250000,333.049988,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.61970,0,0,0,0,0,0,-2,-3,-11,3.760000,-1.110000,332.399994,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.69441,0,0,0,0,0,0,-2,-3,-11,2.620000,-0.120000,329.929993,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.73203,0,0,0,0,0,0,0,-2,-11,1.040000,1.200000,325.399994,1,0,5,0,1,0
2016-06-14_13-26-22,1465903582.76968,0,0,0,0,0,0,1,-1,-13,-0.340000,1.880000,318.959991,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.84452,0,0,0,0,0,0,0,0,-16,-1.570000,1.410000,312.500000,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.88204,0,0,0,0,0,0,0,0,-23,-1.740000,0.790000,306.420013,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.91972,0,0,0,0,0,0,0,2,-20,-1.640000,1.470000,301.279999,0,0,5,0,1,0
2016-06-14_13-26-22,1465903582.99442,0,0,0,0,0,0,0,1,-21,-2.090000,1.670000,297.709991,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.03202,0,0,0,0,0,0,2,2,-13,-2.050000,1.110000,294.890015,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.06967,0,0,0,0,0,0,4,3,-13,-1.960000,0.720000,292.709991,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.14455,0,0,0,0,0,0,5,3,-15,-1.890000,0.860000,291.250000,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.18204,0,0,0,0,0,0,4,2,-16,-1.960000,1.010000,290.329987,1,0,5,0,1,0
2016-06-14_13-26-23,1465903583.21959,0,0,0,0,0,0,3,1,-12,-1.860000,1.080000,289.440002,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.29443,0,0,0,0,0,0,2,0,-11,-1.370000,0.600000,288.589996,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.33202,0,0,0,0,0,0,2,-1,-11,-0.310000,-0.480000,287.480011,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.36968,0,0,0,0,0,0,2,0,-12,1.300000,-1.410000,285.510010,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.44459,0,0,0,0,0,0,1,0,-16,2.120000,-0.890000,283.720001,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.48205,0,0,0,0,0,0,1,0,-19,2.600000,-0.050000,282.880005,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.51961,0,0,0,0,0,0,1,0,-19,2.850000,-0.010000,282.890015,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.59444,0,0,0,0,0,0,0,0,-19,2.910000,0.100000,282.799988,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.63230,0,0,0,0,0,0,-1,1,-15,2.550000,0.610000,282.739990,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.66960,0,0,0,0,0,0,-2,0,-15,2.360000,1.400000,282.940002,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.74455,0,0,0,0,0,0,-2,0,-15,2.480000,2.000000,283.200012,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.78203,0,0,0,0,0,0,-2,1,-15,2.360000,2.940000,283.549988,1,0,5,0,1,0
2016-06-14_13-26-23,1465903583.81964,0,0,0,0,0,0,-1,1,-13,1.480000,4.240000,284.160004,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.89444,0,0,0,0,0,0,0,1,-12,0.160000,5.380000,284.890015,0,0,5,0,1,0
2016-06-14_13-26-23,1465903583.93207,0,0,0,0,0,0,0,1,-11,-0.780000,6.000000,285.399994,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.00704,0,0,0,0,0,0,0,1,-12,-1.490000,6.390000,285.809998,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.04456,0,0,0,0,0,0,0,1,-13,-2.040000,7.010000,286.010010,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.08206,0,0,0,0,0,0,0,1,-19,-2.370000,7.310000,285.920013,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.11974,0,0,0,0,0,0,0,1,-19,-2.450000,7.020000,285.540009,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.19448,0,0,0,0,0,0,0,1,-25,-2.740000,6.940000,285.160004,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.23205,0,0,0,0,0,0,1,3,-17,-2.780000,7.470000,284.209991,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.26972,0,0,0,0,0,0,2,2,-15,-3.260000,7.660000,282.589996,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.34456,0,0,0,0,0,0,3,3,-15,-3.360000,6.410000,279.869995,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.45638,0,0,0,0,0,0,3,3,-16,-3.880000,5.070000,276.859985,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.45860,0,0,0,0,0,0,2,2,-14,-4.610000,4.830000,274.029999,1,0,5,0,1,0
2016-06-14_13-26-24,1465903584.53144,0,0,0,0,0,0,1,1,-12,-4.640000,5.000000,271.190002,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.53357,0,0,0,0,0,0,0,2,-12,-3.950000,5.130000,268.459991,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.56978,0,0,0,0,0,0,0,2,-12,-3.330000,5.490000,266.549988,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.64461,0,0,0,0,0,0,0,3,-15,-3.120000,6.400000,265.859985,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.68209,0,0,0,0,0,0,0,2,-19,-2.700000,8.170000,266.720001,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.71968,0,0,0,0,0,0,1,3,-18,-2.050000,10.680000,269.380005,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.79446,0,0,0,0,0,0,0,4,-18,-1.850000,14.100000,273.690002,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.83212,0,0,0,0,0,0,-2,5,-14,-1.370000,17.740000,278.420013,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.86968,0,0,0,0,0,0,-4,4,-16,0.070000,21.080000,282.149994,1,0,5,0,1,0
2016-06-14_13-26-24,1465903584.94459,0,0,0,0,0,0,-5,5,-13,2.430000,25.030001,283.820007,0,0,5,0,1,0
2016-06-14_13-26-24,1465903584.98211,0,0,0,0,0,0,-5,5,-11,4.300000,29.000000,284.429993,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.01971,0,0,0,0,0,0,-5,6,-9,5.050000,32.689999,285.140015,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.09447,0,0,0,0,0,0,-5,6,-8,5.310000,35.740002,286.119995,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.13203,0,0,0,0,0,0,-6,6,-8,5.390000,37.450001,287.140015,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.16970,0,0,0,0,0,0,-6,6,-8,5.280000,38.200001,287.799988,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.24459,0,0,0,0,0,0,-6,6,-9,4.720000,38.150002,288.339996,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.28211,0,0,0,0,0,0,-7,8,-15,4.140000,37.770000,288.869995,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.35720,0,0,0,0,0,0,-7,9,-14,3.730000,37.680000,289.070007,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.39448,0,0,0,0,0,0,-7,10,-18,2.850000,37.040001,289.500000,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.46897,0,0,0,0,0,0,-4,12,-12,2.750000,35.930000,288.899994,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.47115,0,0,0,0,0,0,-2,9,-14,2.550000,34.250000,289.399994,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.54475,0,0,0,0,0,0,-3,7,-14,2.910000,32.590000,290.390015,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.61951,0,0,0,0,0,0,-3,7,-13,3.470000,32.360001,291.040009,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.62162,0,0,0,0,0,0,-4,6,-10,3.520000,32.840000,291.940002,1,0,5,0,1,0
2016-06-14_13-26-25,1465903585.73147,0,0,0,0,0,0,-3,4,-10,3.510000,32.520000,292.959991,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.73362,0,0,0,0,0,0,-3,4,-10,4.220000,31.670000,293.100006,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.76977,0,0,0,0,0,0,-4,4,-10,4.860000,31.440001,293.369995,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.88146,0,0,0,0,0,0,-3,6,-12,4.910000,31.420000,294.160004,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.88359,0,0,0,0,0,0,-4,7,-19,4.170000,31.639999,295.670013,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.91972,0,0,0,0,0,0,-5,7,-16,3.900000,32.410000,297.040009,0,0,5,0,1,0
2016-06-14_13-26-25,1465903585.99459,0,0,0,0,0,0,-8,8,-16,3.890000,33.139999,297.959991,0,0,5,0,1,0
